L_Temp,L_E,L_Eerr,L_B,L_Berr,L_C,L_Cerr,L_X,L_Xerr,L_L,L_Bext,L_neq,L_n_mc,L_t
2.2803030303030303,-0.7316794799999999,12.869498881824855,0.7470857200000001,20.703325281720534,0.31852105402821485,3.532034910311334,1.8796961282108866,11.012280323718002,10.0,0.0,500000.0,500000.0,76.6410915851593
2.2853535353535355,-0.7297497199999999,12.837853309615399,0.74600496,20.527336616180545,0.31555715460698847,3.5004207993098118,1.843791527374337,10.916422159505236,10.0,0.0,500000.0,500000.0,76.6410915851593
2.29040404040404,-0.72298564,13.04286975852779,0.7335241600000001,21.44901738921955,0.32428145496278454,3.5149743324396043,2.0086427496948795,11.201313930578662,10.0,0.0,500000.0,500000.0,76.6410915851593
2.2954545454545454,-0.72253996,13.007797278245818,0.7354249199999999,21.120711503873668,0.32112204833047764,3.4873938041497294,1.9433382173185343,11.055717824062217,10.0,0.0,500000.0,500000.0,76.6410915851593
2.3005050505050506,-0.7182001200000001,13.051093299791187,0.72880672,21.390009276022326,0.32184547434676847,3.4689978277670943,1.9888350026789527,11.116230244956535,10.0,0.0,500000.0,500000.0,76.6410915851593
2.3055555555555554,-0.71404736,13.120783390112974,0.7228629200000001,21.654768271462554,0.32386823047512486,3.4590908065049764,2.0339088674778916,11.163747133112057,10.0,0.0,500000.0,500000.0,76.6410915851593
2.3106060606060606,-0.71089676,13.200332352446251,0.7177052,21.991574635064282,0.3263757744609071,3.452505850352121,2.09308442133466,11.234949340531035,10.0,0.0,500000.0,500000.0,76.6410915851593
2.3156565656565657,-0.7088455600000001,13.209257991381506,0.7151094000000001,22.092620222966655,0.32539325442263894,3.4313886704866694,2.107755854452499,11.224878831360495,10.0,0.0,500000.0,500000.0,76.6410915851593
2.320707070707071,-0.70481976,13.246763345642002,0.70999228,22.16214609202342,0.325820874090333,3.4105731244069424,2.116427038998806,11.21524638029657,10.0,0.0,500000.0,500000.0,76.6410915851593
2.3257575757575757,-0.70201884,13.2628727977972,0.7053939200000001,22.426771864684518,0.3251968425634077,3.392818956206772,2.162564583312192,11.242616585797489,10.0,0.0,500000.0,500000.0,76.6410915851593
2.330808080808081,-0.69810988,13.348364786138761,0.6988837999999999,22.779198514780084,0.3279767839786203,3.384216562884171,2.226231705854145,11.308258708975943,10.0,0.0,500000.0,500000.0,76.6410915851593
2.335858585858586,-0.6963060799999999,13.320103210948883,0.6978199600000001,22.639888742127297,0.325178696881057,3.3553679816600757,2.1943304503066945,11.237839139589099,10.0,0.0,500000.0,500000.0,76.6410915851593
2.340909090909091,-0.6923629200000001,13.36954352589346,0.69181028,22.834789179305144,0.32618505774310924,3.341261098785465,2.2274576953380127,11.256029416306356,10.0,0.0,500000.0,500000.0,76.6410915851593
2.345959595959596,-0.6886152,13.435194650231052,0.6850822,23.231828348875638,0.3279796285540782,3.3316560454199813,2.300627211828998,11.337630513417377,10.0,0.0,500000.0,500000.0,76.6410915851593
2.351010101010101,-0.6845304799999999,13.417452347956573,0.67998396,23.24273386302329,0.3257100303539362,3.2985120249358113,2.2978407332026323,11.284641661897645,10.0,0.0,500000.0,500000.0,76.6410915851593
2.356060606060606,-0.68208828,13.446327039994038,0.67639124,23.42349419946851,0.3257124986441872,3.2808562495075013,2.3287180266130685,11.283932112672764,10.0,0.0,500000.0,500000.0,76.6410915851593
2.361111111111111,-0.67967952,13.478612277439998,0.6733694,23.47133620901107,0.32587985279958914,3.265916012667977,2.333238875730634,11.270192265518167,10.0,0.0,500000.0,500000.0,76.6410915851593
2.3661616161616164,-0.67488848,13.498602136253417,0.66517912,23.77586959840254,0.32545337826953,3.240188807299084,2.3890674723955354,11.299642439433223,10.0,0.0,500000.0,500000.0,76.6410915851593
2.371212121212121,-0.67283612,13.539813744417044,0.6624255200000001,23.864941997148154,0.3260502726180451,3.229562336613433,2.4018747687413113,11.29862333247121,10.0,0.0,500000.0,500000.0,76.6410915851593
2.3762626262626263,-0.6686915600000001,13.535571500594342,0.6570326400000001,23.895899475566097,0.3244623577021672,3.2013472292098757,2.402992015425464,11.248745877052588,10.0,0.0,500000.0,500000.0,76.6410915851593
2.3813131313131315,-0.6657103600000001,13.566138650577985,0.65166168,24.10667302212766,0.3245484124977486,3.184651788895163,2.440383318573991,11.262492231372553,10.0,0.0,500000.0,500000.0,76.6410915851593
2.3863636363636362,-0.66205896,13.545460303628296,0.64696904,24.138527312470146,0.32219165714720216,3.1540121600283877,2.4416584796048064,11.207084170919737,10.0,0.0,500000.0,500000.0,76.6410915851593
2.3914141414141414,-0.6582241600000001,13.571412303918173,0.64076164,24.3090962202463,0.3220627546916709,3.134869208407456,2.471057391571922,11.211368982059014,10.0,0.0,500000.0,500000.0,76.6410915851593
2.3964646464646466,-0.65557384,13.614317576600204,0.6368916800000001,24.411693416635142,0.3227377010317712,3.1212406519950426,2.4867079777159034,11.200834568141001,10.0,0.0,500000.0,500000.0,76.6410915851593
2.4015151515151514,-0.6537454800000001,13.5511641490939,0.63478424,24.435903226115414,0.31840695833774807,3.0866860340294484,2.486402661667558,11.148110916618883,10.0,0.0,500000.0,500000.0,76.6410915851593
2.4065656565656566,-0.6484714800000001,13.603517055014933,0.62561652,24.650665772568658,0.31952657295120473,3.0696722233535656,2.5249895899290116,11.161652414021106,10.0,0.0,500000.0,500000.0,76.6410915851593
2.4116161616161618,-0.64572296,13.574018022988174,0.62139248,24.746148669932065,0.316811160008369,3.040913568093278,2.539259289024298,11.123523565007625,10.0,0.0,500000.0,500000.0,76.6410915851593
2.4166666666666665,-0.6435325199999999,13.584604411776214,0.61981772,24.677290850898544,0.315980650315428,3.0201616258127975,2.519870415475928,11.04386485002576,10.0,0.0,500000.0,500000.0,76.6410915851593
2.4217171717171717,-0.64031544,13.552387722319432,0.6138912400000001,24.82042752477497,0.3131733467371229,2.9910940280829297,2.5438710585505655,11.03457075084111,10.0,0.0,500000.0,500000.0,76.6410915851593
2.426767676767677,-0.63554456,13.591778196544336,0.60501976,25.07973756033841,0.3136867350007408,2.9735063664901773,2.5918972059707373,11.044684299153294,10.0,0.0,500000.0,500000.0,76.6410915851593
2.4318181818181817,-0.6335314000000001,13.562718759170465,0.60221112,25.097533693241658,0.3110507909090876,2.947022605805108,2.5901862326422544,10.99161304783584,10.0,0.0,500000.0,500000.0,76.6410915851593
